chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,cent_mean,cent_std,cent_skew,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,rolloff_mean,rolloff_std,rolloff_skew,zrate_mean,zrate_std,zrate_skew,tempo,singer
0.20028703,0.08755998,0.33017212,0.06210277,0.22544761,0.34003723,0.14238876,0.6150073,0.13604751,0.12680148,0.13314311,0.07710978,0.19036698,0.11834834,0.15061118,0.09155157,0.1441941,0.15848719,0.08473335,0.12085532,0.13905084,0.119623356,0.16664338,0.07553042,-121.91245,122.525764,-44.631237,24.785702,-4.1102953,1.0493222,-8.508275,-4.37589,-15.121163,-7.7780056,-9.500918,-10.187679,-10.346583,45.525127,17.584686,19.309021,11.472263,17.025324,8.485531,8.861327,11.646223,8.368677,7.683385,8.663998,8.037227,7.9081864,1814.3942017349978,338.60911676899053,0.7594147071687366,28.502106726143307,23.143737616837818,26.261449522381252,25.19516903685058,25.7692961436927,24.270585128302468,52.82962678917886,6.27447620074903,4.466334659353584,4.381480179229207,3.9123345695954534,4.75133120569818,3.8346812924882228,3.8218487913474313,3262.9955117092895,694.7890065504387,1.0002901099878423,0.09650193870913101,0.035804102984940585,0.2706112653519953,122.76785714285714,0
0.36906692,0.17841378,0.250692,0.30185184,0.26896688,0.24685141,0.056482334,0.11919272,0.08156599,0.16114666,0.35473835,0.16397785,0.27793112,0.16347519,0.15503967,0.17171942,0.15489851,0.17943521,0.09191272,0.13119973,0.11105568,0.15046093,0.22575016,0.12919106,-192.52034,67.1214,-37.48664,47.98659,1.4130129,2.7232425,-9.126098,-2.2031746,-19.041441,-8.168374,-13.274116,-5.644112,-15.900404,54.26147,22.115875,15.60692,18.88961,19.61975,18.257286,8.75323,10.817114,9.925776,8.843012,9.829302,9.612535,10.867732,2446.8038474028326,496.677916237021,0.2357456920792122,26.797886581517172,25.82095612102206,27.49012848357025,27.650764144741704,26.857520991604748,27.219503979760532,58.01285135131413,5.165092824263799,5.667193338916493,5.72827993958518,4.924249361341056,5.417782740092781,4.761003462112643,6.294201486124364,4459.9555876740005,887.160354611967,0.017415067442897475,0.10872166346261787,0.04668425449075957,0.8246309836946475,128.90625,0
0.32248402,0.12351456,0.12860982,0.13657452,0.20379974,0.44876534,0.08010503,0.22704203,0.103866644,0.12002765,0.33836794,0.05266192,0.2520952,0.1758591,0.15001497,0.20347883,0.15605496,0.25144672,0.09289282,0.19655098,0.1314627,0.13335542,0.25951424,0.078975596,-238.81418,109.11215,-9.358669,13.790518,-1.3142593,9.601714,-10.97114,-4.549551,-5.8258133,2.9409442,-1.6150488,5.486638,-10.371341,69.99706,24.217466,13.744563,11.613607,9.709042,10.178158,11.386314,10.385323,11.000444,11.395985,14.8097105,14.76682,14.959175,1826.1536558816647,445.25038818975656,-0.8351957897120074,27.38378866838909,21.486568850396736,28.999932950259343,29.6469439877083,31.488308601412488,26.527730389581112,56.29503205683597,6.437000494669207,4.364735189317484,5.124532437392007,4.5737439134848925,4.787959170464866,4.545674070100321,6.08498533130296,3576.1424830804776,1158.0804061477972,-0.11373855204463247,0.08017029422589352,0.026109437768284515,-0.2594399166976271,99.15865384615384,0
0.3698791,0.24575916,0.547625,0.07336373,0.06500805,0.12442797,0.13548256,0.20630494,0.065561876,0.31566414,0.21544541,0.16813959,0.12579548,0.101557784,0.17466061,0.091684006,0.07376635,0.19037798,0.10217872,0.1903592,0.076447174,0.13877551,0.22632268,0.092320725,-159.14766,78.827866,-8.821681,30.528784,5.0033402,22.781275,-2.6601608,4.5701203,-14.108976,-5.997347,-8.54146,2.028006,5.312294,62.0081,18.6864,11.196086,10.115799,7.7994194,7.130847,7.1381607,6.6290684,8.18395,6.6065073,8.090186,8.009124,7.713184,2638.824371758591,648.7089815037754,-0.026026884611021282,30.586329768350488,22.58920589971602,27.45509817322122,25.194283215919075,23.789731228053242,20.56310496799129,54.86070325369467,5.593019596784715,4.747771940335927,4.522699571819486,3.180425386755718,3.1818043172246053,2.8850080020675484,3.0607420064904196,5667.733555669534,1088.8492626092377,-0.7316829388624343,0.08221310552976398,0.038613769075144855,1.005534509381793,103.125,1
0.15666497,0.36344087,0.19727121,0.17469086,0.15911394,0.13982031,0.21556559,0.21881735,0.28357863,0.17570741,0.12654643,0.18058568,0.15732181,0.2428542,0.1753688,0.21299802,0.19838572,0.1517723,0.22203718,0.18486704,0.22916673,0.17983449,0.17178588,0.23391318,-373.62247,99.194984,24.56332,27.713572,15.998768,16.958097,5.7021465,-1.5944177,-2.7747846,0.014853573,0.0011834295,-5.881559,-8.528805,65.7808,32.177288,29.153465,16.88367,16.68385,13.710745,11.027888,11.333228,11.073083,8.076737,9.456205,9.961001,7.9172916,1390.104852896679,642.109649600109,2.018019427850952,30.4989510833303,24.46801814636621,24.26503809957584,21.28904919895472,20.457649059405234,18.18800386862247,49.29460423721595,5.645310447176867,6.813074084909808,6.890752758261818,5.684835666750846,5.3648190878584,3.575960775425007,3.350803291827562,2736.1620505414476,1604.174609810533,0.9989112630293498,0.031142349493346298,0.03256857181071862,4.065187269176147,184.15178571428572,1
0.060072314,0.1284447,0.16848212,0.15633893,0.3118088,0.097729616,0.05438094,0.13190101,0.3231048,0.5164655,0.22566229,0.14334391,0.12777549,0.17208582,0.20514077,0.16610517,0.21272397,0.1507892,0.112566315,0.14880602,0.1796677,0.2159201,0.18928227,0.15550934,-267.798,116.362724,17.305227,28.11916,7.769583,6.946934,-4.901873,-1.8181521,-10.024151,-5.757906,-0.8609639,-1.5277555,-6.012153,106.24285,24.717571,20.200981,16.371407,11.258045,13.504534,10.1177845,10.176375,8.82345,8.445024,7.9723325,9.098244,8.473571,1412.723977360526,505.92764732984637,1.1475687874650227,29.083770581274983,23.45028145611677,28.02324341622789,26.209632448965102,23.994437992061496,21.1085506841389,52.92613230483096,6.5217472729328545,6.141433730789187,5.023044305597638,4.536383426487815,3.9918805424407875,3.530692745853519,3.6967472923841402,2866.2295296563866,1407.6599847025725,0.8809327442284303,0.044297614891937835,0.023003739476785766,1.5201151827015795,184.15178571428572,1
0.15922894,0.17333488,0.22777708,0.15458037,0.13622697,0.16302347,0.29857117,0.17228343,0.19971597,0.27214828,0.32625502,0.4104428,0.14912818,0.13536017,0.17125945,0.1284666,0.18715072,0.13192803,0.17034651,0.15651031,0.14160039,0.18487164,0.15670972,0.2118517,-271.9173,72.54352,6.072978,22.088314,9.303537,5.383898,-6.5324492,-4.0378036,-8.033241,-1.4589019,-0.7928589,-1.4121419,-4.585153,154.20879,32.46893,19.084085,13.810272,7.030773,14.009707,10.587761,12.320581,8.032052,6.2030897,5.785815,8.416945,7.0802064,2083.844823203917,708.5193055614932,-0.017814767319530918,21.480484625352346,21.1774097810257,27.556149324914593,24.580560313989228,24.902163205740354,20.41029011599807,49.67623447429882,6.3689257755886475,7.043852340452794,7.258416891696305,6.37924015494119,6.019468089912792,4.886903659833322,4.781502039869003,4670.495650873054,1894.7532047587483,-0.24526721526904272,0.05744458387863342,0.022751483186059615,0.47958453128638706,151.65441176470588,1
0.29388335,0.14699131,0.5481155,0.1047665,0.12786204,0.06258977,0.09877128,0.37956578,0.10403934,0.24207146,0.16163857,0.32117072,0.11426968,0.08856276,0.15982102,0.12845092,0.14053677,0.11313425,0.07217799,0.22415493,0.090144806,0.15049638,0.107604116,0.12051837,-139.47823,98.319595,-8.084244,20.81635,2.8477921,7.355673,0.5582305,2.1918907,-16.601149,-7.09642,-9.751729,0.027621552,-9.098322,60.75257,20.01637,11.081813,8.738399,7.08578,6.5622096,5.8928504,6.159849,6.4536014,6.028002,6.184822,6.3990507,6.816417,2435.081181565368,780.5239956256517,0.24284359094131908,26.221006233345115,21.751989161640196,24.983988801437153,23.455002274782096,21.98164803224403,20.049188996435948,51.97702462196456,4.750851695873388,4.84058609313183,4.575941220508211,3.4135075866790405,3.1431526465638284,2.866213389933357,4.227942944672915,5270.549528289418,1642.4795236904752,-0.3090681901042964,0.06119462621330993,0.022037490383628303,0.5126334996505292,143.22916666666666,1
0.25116614,0.14317515,0.2972132,0.084029086,0.04399598,0.08833888,0.19780019,0.592881,0.26909226,0.07893718,0.087615326,0.13627426,0.21092786,0.15450838,0.18941097,0.14113237,0.09676308,0.14958729,0.117275424,0.21403198,0.20248991,0.10308913,0.13455586,0.1748228,-283.61694,103.89477,8.897463,27.352436,8.834416,10.987269,3.5763686,2.9019284,-6.810469,-2.8537822,-6.1548495,-1.278814,-0.9251236,136.15974,39.14044,20.818624,12.335316,11.054172,7.7563076,8.309757,7.176881,8.610391,7.3843584,8.694903,8.089477,8.152289,1576.0038039427416,632.0298088286646,1.0883189549256334,32.04365615151502,24.200798633197888,25.599746495775147,23.947396845938865,22.692889520664462,21.42680965208131,51.89998598296398,5.8850645594961515,5.578177875463908,5.916445643372767,4.977080540807928,4.827196601590558,4.831018159118981,4.967459207057835,3351.7402728766124,1592.2050903530878,0.4993139976635794,0.0409528222157155,0.02747862765450127,4.466839595461126,112.09239130434783,1
0.10826353,0.18490776,0.08749038,0.143326,0.06620267,0.10187596,0.29180434,0.5800882,0.39847025,0.23758326,0.1768043,0.12548032,0.10557363,0.14869143,0.10804574,0.17035009,0.122827,0.07996891,0.1348753,0.16053659,0.14364968,0.12777208,0.15489902,0.16401467,-163.82501,102.755806,-12.413829,34.919968,6.817187,13.78579,-2.2685578,1.7670714,-9.10489,-1.0098288,-7.6261787,0.29118243,-0.026419628,68.02138,20.888079,12.848705,8.312339,7.305355,9.588958,6.6752605,6.333713,6.0274177,5.6082416,5.399146,6.3960395,5.924988,1935.0948046212843,611.9413812884479,1.1643082502915993,32.37870746727875,22.330211694403108,24.32066183552423,23.154293530678466,23.721409007880514,20.913010509862612,53.42885120196424,5.792882516610746,4.624667889614161,5.073869041423671,3.5942730024835066,3.9042656441788637,3.051132999654205,4.72300706156688,4144.132792996177,1249.2543371816446,0.24216922314217476,0.05189830097324075,0.03346464237700491,6.123846906539689,128.90625,1
